num_res,num_qubits,cpu_calls_mean,std_cpu_calls,successful_runs,total_runs,convergence_ratio
2,4,402.88,440.34446279064315,200,200,1.0
2,6,1000.44,1112.2375636015352,200,200,1.0
2,8,7387.84,7782.34180150276,200,200,1.0
2,10,74116.0,66250.74900061052,200,200,1.0
2,12,224001.36,219295.23764691607,200,200,1.0
2,14,266060.2,221148.94892144616,200,200,1.0
2,16,278346.24,221063.75045176927,200,200,1.0
2,18,412793.82,284894.5177860411,200,200,1.0
2,20,546924.0,379545.83213384193,200,200,1.0
2,22,676281.1,512359.0884774646,200,200,1.0
2,24,833348.1599999999,641256.2548988349,200,200,1.0
2,26,1055793.7000000002,753852.8223191579,200,200,1.0
2,28,1111892.32,1044443.3439230074,200,200,1.0
2,30,1536196.5,1279248.0827000577,200,200,1.0
3,6,385.8,432.9883407605392,300,300,1.0
3,9,7183.079999999999,7034.727607667518,300,300,1.0
3,12,14503.68,16013.191459888933,300,300,1.0
3,15,24733.5,28005.789637951515,300,300,1.0
3,18,239126.58,207082.56440330157,400,400,1.0
3,21,4519566.801513704,2884091.571631044,379,400,0.9475
3,24,7012904.922857143,3709919.3791058958,366,400,0.915
3,27,5476835.385,4083596.770745748,272,300,0.9066666666666666
3,30,6432548.064935065,4100260.733122665,277,300,0.9233333333333333
3,33,10279450.86882353,8091528.386183001,268,300,0.8933333333333333
3,36,12969415.916883117,10433755.087804396,277,300,0.9233333333333333
3,39,15302415.189873418,12139624.251554117,279,300,0.93
3,42,18365624.44626506,13366146.098478325,283,300,0.9433333333333334
3,45,31829501.983146068,25807329.850612603,189,200,0.945
4,8,6774.08,8410.224414208133,200,200,1.0
4,12,37028.880000000005,36816.469103938754,200,200,1.0
4,16,147934.72,134489.17941961403,200,200,1.0
4,20,1348976.081632653,1731148.3735975535,198,200,0.99
4,24,2655067.32,2814178.8533472535,196,200,0.98
4,28,3544822.3364948453,3399175.2917006663,197,200,0.985
4,32,6500131.84,2901290.9078390524,103,200,0.515
4,36,16874516.16,15190647.962307105,102,200,0.51
4,40,26885072.0,23259643.582011543,110,200,0.55
4,44,27677094.72,23058260.42168864,102,200,0.51
4,48,14694681.6,5566079.997880649,100,100,1.0
4,52,17614504.96,5468227.098473775,100,100,1.0
5,10,17094.0,12262.40449504093,100,100,1.0
5,15,128085.75,48788.18623076185,100,100,1.0
5,20,12024272.0,9271806.14083448,100,100,1.0
5,25,1059031.25,294905.3128627687,100,100,1.0
5,30,2577546.0,1288807.823565639,100,100,1.0
5,35,4996689.25,2088767.233499388,100,100,1.0
5,40,6845984.0,2512508.52045202,100,100,1.0
5,45,8370600.75,2553850.451118993,100,100,1.0
5,50,11460150.0,3716650.101569961,100,100,1.0
6,12,12080.16,12470.531278754728,100,100,1.0
6,18,151295.04,93828.15032109711,100,100,1.0
6,24,411436.8,236845.9540275071,100,100,1.0
6,30,858834.0,472168.0940554963,100,100,1.0
6,36,4661375.04,2709781.700454271,100,100,1.0
6,42,5669690.04,2715808.0641850075,100,100,1.0
6,48,9227450.88,5170820.601921302,100,100,1.0
7,14,23629.76,20410.223009619465,100,100,1.0
7,21,364398.3,158620.40500323405,100,100,1.0
7,28,1483335.84,453562.7017074204,100,100,1.0
7,35,3545027.5,1013062.2240730084,100,100,1.0
7,42,7742160.72,3921855.598037945,100,100,1.0
7,49,11254519.43,4220144.275587386,100,100,1.0
8,16,,,0,100,0.0
8,24,726059.52,240482.74519343296,100,100,1.0
8,32,2389534.72,567530.334018933,100,100,1.0
8,40,6724096.0,2031793.98413914,100,100,1.0
8,48,17965278.72,9128464.865677305,100,100,1.0
8,56,,,0,100,0.0
9,18,155928.24,101871.21234157568,100,100,1.0
9,27,1013535.99,213294.67887120365,100,100,1.0
9,36,3413534.4,890624.3918697039,100,100,1.0
9,45,8859800.25,3215343.1733535356,100,100,1.0
10,20,441316.0,65740.9046484759,100,100,1.0
10,30,1768788.0,325016.32798368763,100,100,1.0
10,40,4667584.0,842770.3837606065,100,100,1.0
10,50,12833750.0,3261832.5083455774,100,100,1.0
